title,plays,prefix,album_display_name,year,year_weight,popularity_weight,hybrid_weight
K.G.L.W.,314000.0,kg,K.G.,2020,0.0037209809487138428,0.0023596248647348803,0.0030403029067243613
Automation,567000.0,kg,K.G.,2020,0.0037209809487138428,0.004260851268486233,0.0039909161086000376
Minimum Brain Size,533000.0,kg,K.G.,2020,0.0037209809487138428,0.00400535048695443,0.0038631657178341368
Straws In The Wind,1300000.0,kg,K.G.,2020,0.0037209809487138428,0.009769147529157148,0.006745064238935495
Some Of Us,765000.0,kg,K.G.,2020,0.0037209809487138428,0.0057487675844655525,0.004734874266589697
Ontology,334000.0,kg,K.G.,2020,0.0037209809487138428,0.0025099194421065287,0.003115450195410186
Intrasport,1400000.0,kg,K.G.,2020,0.0037209809487138428,0.01052062041601539,0.007120800682364616
Oddlife,340000.0,kg,K.G.,2020,0.0037209809487138428,0.0025550078153180234,0.003137994382015933
Honey,2100000.0,kg,K.G.,2020,0.0037209809487138428,0.015780930624023085,0.009750955786368464
The Hungry Wolf Of Fate,286000.0,kg,K.G.,2020,0.0037209809487138428,0.0021492124564145725,0.0029350967025642077
"If Not Now, Then When?",3700000.0,lw,L.W.,2021,0.004651226185892303,0.02780449681375496,0.01622786149982363
O.N.E.,1800000.0,lw,L.W.,2021,0.004651226185892303,0.013526511963448359,0.009088869074670332
Pleura,408000.0,lw,L.W.,2021,0.004651226185892303,0.003066009378381628,0.0038586177821369654
Supreme Ascendancy,398000.0,lw,L.W.,2021,0.004651226185892303,0.0029908620896958037,0.003821044137794053
Static Electricity,586000.0,lw,L.W.,2021,0.004651226185892303,0.004403631116989299,0.004527428651440801
East West Link,330000.0,lw,L.W.,2021,0.004651226185892303,0.002479860526632199,0.003565543356262251
Ataraxia,360000.0,lw,L.W.,2021,0.004651226185892303,0.0027053023926896717,0.0036782642892909875
See Me,343000.0,lw,L.W.,2021,0.004651226185892303,0.0025775520019237705,0.0036143890939080367
K.G.L.W.,465000.0,lw,L.W.,2021,0.004651226185892303,0.003494348923890826,0.004072787554891565
Yours,1000000.0,butterfly,Butterfly 3000,2021,0.004651226185892303,0.007514728868582421,0.006082977527237362
Shanghai,1700000.0,butterfly,Butterfly 3000,2021,0.004651226185892303,0.012775039076590116,0.00871313263124121
Dreams,636000.0,butterfly,Butterfly 3000,2021,0.004651226185892303,0.0047793675604184205,0.004715296873155361
Blue Morpho,652000.0,butterfly,Butterfly 3000,2021,0.004651226185892303,0.0048996032223157385,0.00477541470410402
Interior People,1500000.0,butterfly,Butterfly 3000,2021,0.004651226185892303,0.011272093302873633,0.007961659744382968
Catching Smoke,2700000.0,butterfly,Butterfly 3000,2021,0.004651226185892303,0.020289767945172538,0.01247049706553242
2.02 Killer Year,425000.0,butterfly,Butterfly 3000,2021,0.004651226185892303,0.003193759769147529,0.003922492977519916
Black Hot Soup,554000.0,butterfly,Butterfly 3000,2021,0.004651226185892303,0.0041631597931946615,0.004407192989543483
Ya Love,497000.0,butterfly,Butterfly 3000,2021,0.004651226185892303,0.0037348202476854635,0.0041930232167888834
Butterfly 3000,482000.0,butterfly,Butterfly 3000,2021,0.004651226185892303,0.003622099314656727,0.004136662750274515
The Dripping Tap,657000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.004937176866658651,0.005569405890590861
Magenta Mountain,686000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.005155104003847541,0.005678369459185305
Kepler-22b,949000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.007131477696284718,0.006666556305403894
Gaia,608000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.004568955152098112,0.005385295033310591
Ambergris,386000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.0029006853432728148,0.004551160128897943
Sadie Sorceress,376000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.0028255380545869906,0.004513586484555031
Evilest Man,293000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.0022018155584946496,0.00420172523650886
The Garden Goblin,257000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.0019312853192256824,0.0040664601168743765
Blame It On The Weather,190000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.00142779848503066,0.003814716699776865
Persistence,265000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.001991403150174342,0.004096519032348706
The Grim Reaper,447000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.0033590838042563426,0.004780359359389707
Presumptuous,285000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.00214169772754599,0.00417166632103453
Predator X,234000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.0017584465552482867,0.003980040734885678
Red Smoke,208000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.0015630636046651436,0.003882349259594107
Candles,244000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.0018335938439341109,0.0040176143792285905
The Funeral,109000.0,omnium,Omnium Gatherum,2022,0.00620163491452307,0.0008191054466754839,0.003510370180599277
Mycelium,360000.0,ice,"Ice, Death, Planets, Lungs, Mushrooms And Lava",2022,0.00620163491452307,0.0027053023926896717,0.004453468653606371
Ice V,1200000.0,ice,"Ice, Death, Planets, Lungs, Mushrooms And Lava",2022,0.00620163491452307,0.009017674642298907,0.007609654778410989
Magma,414000.0,ice,"Ice, Death, Planets, Lungs, Mushrooms And Lava",2022,0.00620163491452307,0.0031110977515931225,0.004656366333058096
Lava,232000.0,ice,"Ice, Death, Planets, Lungs, Mushrooms And Lava",2022,0.00620163491452307,0.0017434170975111217,0.003972526006017096
Hell's Itch,216000.0,ice,"Ice, Death, Planets, Lungs, Mushrooms And Lava",2022,0.00620163491452307,0.001623181435613803,0.003912408175068436
